Date,Team_A,Team_B,Score_A,Score_B,Tournament,Location_A,Is_Playoff,Is_GoD
2023-06-20,Bosnia and Herzegovina,Luxembourg,0,2,QUAL_EURO,Home,0,0
2023-06-20,Liechtenstein,Slovakia,0,1,QUAL_EURO,Home,0,0
2023-09-07,France,Republic of Ireland,2,0,QUAL_EURO,Home,0,0
2023-09-07,Netherlands,Greece,3,0,QUAL_EURO,Home,0,0
2023-09-07,Czech Republic,Albania,1,1,QUAL_EURO,Home,0,0
2023-09-07,Poland,Faroe Islands,2,0,QUAL_EURO,Home,0,0
2023-09-07,Serbia,Hungary,1,2,QUAL_EURO,Home,0,0
2023-09-07,Lithuania,Montenegro,2,2,QUAL_EURO,Home,0,0
2023-09-07,Kazakhstan,Finland,0,1,QUAL_EURO,Home,0,0
2023-09-07,Denmark,San Marino,4,0,QUAL_EURO,Home,0,0
2023-09-07,Slovenia,Northern Ireland,4,2,QUAL_EURO,Home,0,0
2023-09-08,Georgia,Spain,1,7,QUAL_EURO,Home,0,0
2023-09-08,Cyprus,Scotland,0,3,QUAL_EURO,Home,0,0
2023-09-08,Croatia,Latvia,5,0,QUAL_EURO,Home,0,0
2023-09-08,Turkey,Armenia,1,1,QUAL_EURO,Home,0,0
2023-09-08,Bosnia and Herzegovina,Liechtenstein,2,1,QUAL_EURO,Home,0,0
2023-09-08,Luxembourg,Iceland,3,1,QUAL_EURO,Home,0,0
2023-09-08,Slovakia,Portugal,0,1,QUAL_EURO,Home,0,0
2023-09-09,Ukraine,England,1,1,QUAL_EURO,Neutral,0,0
2023-09-09,North Macedonia,Italy,1,1,QUAL_EURO,Home,0,0
2023-09-09,Azerbaijan,Belgium,0,1,QUAL_EURO,Home,0,0
2023-09-09,Estonia,Sweden,0,5,QUAL_EURO,Home,0,0
2023-09-09,Andorra,Belarus,0,0,QUAL_EURO,Home,0,0
2023-09-09,Kosovo,Switzerland,2,2,QUAL_EURO,Home,0,0
2023-09-09,Romania,Israel,1,1,QUAL_EURO,Home,0,0
2023-09-10,Republic of Ireland,Netherlands,1,2,QUAL_EURO,Home,0,0
2023-09-10,Greece,Gibraltar,5,0,QUAL_EURO,Home,0,0
2023-09-10,Faroe Islands,Moldova,0,1,QUAL_EURO,Home,0,0
2023-09-10,Albania,Poland,2,0,QUAL_EURO,Home,0,0
2023-09-10,Montenegro,Bulgaria,2,1,QUAL_EURO,Home,0,0
2023-09-10,Lithuania,Serbia,1,3,QUAL_EURO,Home,0,0
2023-09-10,Finland,Denmark,0,1,QUAL_EURO,Home,0,0
2023-09-10,Kazakhstan,Northern Ireland,1,0,QUAL_EURO,Home,0,0
2023-09-10,San Marino,Slovenia,0,4,QUAL_EURO,Home,0,0
2023-09-11,Armenia,Croatia,0,1,QUAL_EURO,Home,0,0
2023-09-11,Latvia,Wales,0,2,QUAL_EURO,Home,0,0
2023-09-11,Iceland,Bosnia and Herzegovina,1,0,QUAL_EURO,Home,0,0
2023-09-11,Portugal,Luxembourg,9,0,QUAL_EURO,Home,0,0
2023-09-11,Slovakia,Liechtenstein,3,0,QUAL_EURO,Home,0,0
2023-09-12,Norway,Georgia,2,1,QUAL_EURO,Home,0,0
2023-09-12,Spain,Cyprus,6,0,QUAL_EURO,Home,0,0
2023-09-12,Italy,Ukraine,2,1,QUAL_EURO,Home,0,0
2023-09-12,Malta,North Macedonia,0,2,QUAL_EURO,Home,0,0
2023-09-12,Belgium,Estonia,5,0,QUAL_EURO,Home,0,0
2023-09-12,Sweden,Austria,1,3,QUAL_EURO,Home,0,0
2023-09-12,Switzerland,Andorra,3,0,QUAL_EURO,Home,0,0
2023-09-12,Israel,Belarus,1,0,QUAL_EURO,Home,0,0
2023-09-12,Romania,Kosovo,2,0,QUAL_EURO,Home,0,0
2023-10-12,Spain,Scotland,2,0,QUAL_EURO,Home,0,0
2023-10-12,Cyprus,Norway,0,4,QUAL_EURO,Home,0,0
2023-10-12,Latvia,Armenia,2,0,QUAL_EURO,Home,0,0
2023-10-12,Croatia,Turkey,0,1,QUAL_EURO,Home,0,0
2023-10-12,Faroe Islands,Poland,0,2,QUAL_EURO,Home,0,0
2023-10-12,Albania,Czech Republic,3,0,QUAL_EURO,Home,0,0
2023-10-12,Andorra,Kosovo,0,3,QUAL_EURO,Home,0,0
2023-10-12,Belarus,Romania,0,0,QUAL_EURO,Neutral,0,0
2023-10-13,Republic of Ireland,Greece,0,2,QUAL_EURO,Home,0,0
2023-10-13,Netherlands,France,1,2,QUAL_EURO,Home,0,0
2023-10-13,Estonia,Azerbaijan,0,2,QUAL_EURO,Home,0,0
2023-10-13,Austria,Belgium,2,3,QUAL_EURO,Home,0,0
2023-10-13,Iceland,Luxembourg,1,1,QUAL_EURO,Home,0,0
2023-10-13,Portugal,Slovakia,3,2,QUAL_EURO,Home,0,0
2023-10-13,Liechtenstein,Bosnia and Herzegovina,0,2,QUAL_EURO,Home,0,0
2023-10-14,Ukraine,North Macedonia,2,0,QUAL_EURO,Neutral,0,0
2023-10-14,Italy,Malta,4,0,QUAL_EURO,Home,0,0
2023-10-14,Bulgaria,Lithuania,0,2,QUAL_EURO,Home,0,0
2023-10-14,Hungary,Serbia,2,1,QUAL_EURO,Home,0,0
2023-10-14,Northern Ireland,San Marino,3,0,QUAL_EURO,Home,0,0
2023-10-14,Slovenia,Finland,3,0,QUAL_EURO,Home,0,0
2023-10-14,Denmark,Kazakhstan,3,1,QUAL_EURO,Home,0,0
2023-10-15,Georgia,Cyprus,4,0,QUAL_EURO,Home,0,0
2023-10-15,Norway,Spain,0,1,QUAL_EURO,Home,0,0
2023-10-15,Wales,Croatia,2,1,QUAL_EURO,Home,0,0
2023-10-15,Turkey,Latvia,4,0,QUAL_EURO,Home,0,0
2023-10-15,Czech Republic,Faroe Islands,1,0,QUAL_EURO,Home,0,0
2023-10-15,Poland,Moldova,1,1,QUAL_EURO,Home,0,0
2023-10-15,Switzerland,Belarus,3,3,QUAL_EURO,Home,0,0
2023-10-15,Romania,Andorra,4,0,QUAL_EURO,Home,0,0
2023-10-16,Gibraltar,Republic of Ireland,0,4,QUAL_EURO,Neutral,0,0
2023-10-16,Greece,Netherlands,0,1,QUAL_EURO,Home,0,0
2023-10-16,Azerbaijan,Austria,0,1,QUAL_EURO,Home,0,0
2023-10-16,Belgium,Sweden,1,1,QUAL_EURO,Home,0,0
2023-10-16,Iceland,Liechtenstein,4,0,QUAL_EURO,Home,0,0
2023-10-16,Bosnia and Herzegovina,Portugal,0,5,QUAL_EURO,Home,0,0
2023-10-16,Luxembourg,Slovakia,0,1,QUAL_EURO,Home,0,0
2023-10-17,England,Italy,3,1,QUAL_EURO,Home,0,0
2023-10-17,Malta,Ukraine,1,3,QUAL_EURO,Home,0,0
2023-10-17,Serbia,Montenegro,3,1,QUAL_EURO,Home,0,0
2023-10-17,Lithuania,Hungary,2,2,QUAL_EURO,Home,0,0
2023-10-17,Finland,Kazakhstan,1,2,QUAL_EURO,Home,0,0
2023-10-17,Northern Ireland,Slovenia,0,1,QUAL_EURO,Home,0,0
2023-10-17,San Marino,Denmark,1,2,QUAL_EURO,Home,0,0
2023-11-12,Kosovo,Israel,1,0,QUAL_EURO,Home,0,0
2023-11-15,Israel,Switzerland,1,1,QUAL_EURO,Neutral,0,0
2023-11-16,Cyprus,Spain,1,3,QUAL_EURO,Home,0,0
